Epoch,Train_Loss,Calib_Loss
1,0.23477628387015265,0.10029696209343322
2,0.1325532631205216,0.0986495058030082
3,0.13158013389171452,0.09747874988692463
4,0.13105142776629408,0.09806087210095485
5,0.13034695332273022,0.09844863239304566
6,0.12957938356272075,0.0985264332269584
7,0.12908210564621483,0.09924879681915129
8,0.12874121313242293,0.09845396239486563
9,0.12850407499208671,0.0981831531756753
10,0.1283388748723193,0.09751954239118264
11,0.12824888127608772,0.09843163397013857
12,0.12819669673825437,0.09808264408152495
13,0.12810298256627634,0.09794437163176281
